id,date,merchant,amount,currency,type
fixture-001,2026-03-03,Swiggy,342,INR,DEBIT
fixture-002,2026-03-04,Zomato,418,INR,DEBIT
fixture-003,2026-03-05,DMart,2385,INR,DEBIT
fixture-004,2026-03-06,Blinkit,624,INR,DEBIT
fixture-005,2026-03-07,BigBasket,1788,INR,DEBIT
fixture-006,2026-03-08,Uber,286,INR,DEBIT
fixture-007,2026-03-09,Ola,224,INR,DEBIT
fixture-008,2026-03-10,BPCL,3110,INR,DEBIT
fixture-009,2026-03-11,Apollo Pharmacy,692,INR,DEBIT
fixture-010,2026-03-12,1mg,534,INR,DEBIT
fixture-011,2026-03-13,Netmeds,448,INR,DEBIT
fixture-012,2026-03-14,Amazon,1965,INR,DEBIT
fixture-013,2026-03-15,Flipkart,2240,INR,DEBIT
fixture-014,2026-03-16,Reliance Digital,4185,INR,DEBIT
fixture-015,2026-03-17,Myntra,1649,INR,DEBIT
fixture-016,2026-03-18,Ajio,1328,INR,DEBIT
fixture-017,2026-03-19,Netflix,649,INR,DEBIT
fixture-018,2026-03-20,Spotify,119,INR,DEBIT
fixture-019,2026-03-21,Udemy,899,INR,DEBIT
fixture-020,2026-03-22,Coursera,1499,INR,DEBIT
fixture-021,2026-03-23,Airtel,799,INR,DEBIT
fixture-022,2026-03-24,Jio,599,INR,DEBIT
fixture-023,2026-03-25,Nykaa,1185,INR,DEBIT
fixture-024,2026-03-26,Salon,950,INR,DEBIT
fixture-025,2026-03-27,Dominos,864,INR,DEBIT
fixture-026,2026-03-28,KFC,572,INR,DEBIT
fixture-027,2026-04-02,Swiggy Online,386,INR,DEBIT
fixture-028,2026-04-03,Zomato,452,INR,DEBIT
fixture-029,2026-04-04,DMart,2610,INR,DEBIT
fixture-030,2026-04-05,Zepto,485,INR,DEBIT
fixture-031,2026-04-06,Reliance Fresh,1324,INR,DEBIT
fixture-032,2026-04-07,Uber India,342,INR,DEBIT
fixture-033,2026-04-08,Rapido,178,INR,DEBIT
fixture-034,2026-04-09,Indian Oil,2875,INR,DEBIT
fixture-035,2026-04-10,Apollo Pharmacy,728,INR,DEBIT
fixture-036,2026-04-11,Practo,1199,INR,DEBIT
fixture-037,2026-04-12,PharmEasy,664,INR,DEBIT
fixture-038,2026-04-13,Amazon Online,2425,INR,DEBIT
fixture-039,2026-04-14,Croma,5630,INR,DEBIT
fixture-040,2026-04-15,IKEA,3188,INR,DEBIT
fixture-041,2026-04-16,Myntra,1895,INR,DEBIT
fixture-042,2026-04-17,Meesho,844,INR,DEBIT
fixture-043,2026-04-18,Prime Video,149,INR,DEBIT
fixture-044,2026-04-19,BookMyShow,540,INR,DEBIT
fixture-045,2026-04-20,Udemy,999,INR,DEBIT
fixture-046,2026-04-21,Unacademy,1299,INR,DEBIT
fixture-047,2026-04-22,Vi,349,INR,DEBIT
fixture-048,2026-04-23,BSNL,499,INR,DEBIT
