merchant_normalized,app_category
1mg,healthcare
air india,transport
airtel,information_communication
ajio,clothing_footwear
amazon,household_goods
apollo pharmacy,healthcare
bigbasket,food_beverages
blinkit,food_beverages
bookmyshow,recreation
bpcl,transport
bsnl,information_communication
college fees,education
coursera,education
croma,household_goods
decathlon,clothing_footwear
dmart,food_beverages
dominos,restaurants_accommodation
flipkart,household_goods
hotstar,recreation
hpcl,transport
ikea,household_goods
indian oil,transport
indigo,transport
irctc,transport
jio,information_communication
kfc,restaurants_accommodation
mcdonalds,restaurants_accommodation
meesho,clothing_footwear
more supermarket,food_beverages
myntra,clothing_footwear
netflix,recreation
netmeds,healthcare
nykaa,personal_care_misc
ola,transport
pharmacy,healthcare
pharmeasy,healthcare
practo,healthcare
prime video,recreation
rapido,transport
reliance digital,household_goods
reliance fresh,food_beverages
restaurant,restaurants_accommodation
salon,personal_care_misc
school fees,education
shell,transport
spencer's,food_beverages
spotify,recreation
swiggy,food_beverages
tanishq,personal_care_misc
uber,transport
uber india,transport
udemy,education
unacademy,education
vi,information_communication
zepto,food_beverages
zomato,food_beverages
